,userNr,userId,file_name,N,S,V,Nprec,Nrec,Nfsc,Sprec,Srec,Sfsc,Vprec,Vrec,Vfsc,Err%,Noise%
0,1000,6034c808d6c2740008035ede,1630737.035,857,2,0,1.0,0.9964994165694282,0.9982466393921683,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,47.147846332945285
1,1000,6034c808d6c2740008035ede,1630737.056,4846,1,0,1.0,0.9896822121337185,0.994814353868492,0.034482758620689655,1.0,0.06666666666666667,0.0,0.0,0.0,1.0,18.898287600577675
2,1000,6034c808d6c2740008035ede,1630737.176,5750,0,0,1.0,0.987304347826087,0.9936116215979698,0.0,0.0,0.0,0.0,0.0,0.0,1.3,30.26086956521739
3,1000,6034c808d6c2740008035ede,1630737.219,759,4,0,1.0,0.9960474308300395,0.998019801980198,0.4,0.5,0.4444444444444445,0.0,0.0,0.0,0.7,40.76015727391874
4,1001,607efbd094e6ea3b5a1ab959,1630737.025,833,0,23,0.9967105263157895,0.3637454981992797,0.5329815303430079,0.0,0.0,0.0,0.05275779376498801,0.9565217391304348,0.1,62.0,54.90654205607477
5,1002,60a917b354352a3df86dc1f2,1630737.068,786,5,0,1.0,0.9860050890585241,0.9929532351057014,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,1.4,49.557522123893804
6,1002,60a917b354352a3df86dc1f2,1630737.071,739,4,1,1.0,1.0,1.0,1.0,0.25,0.4,0.25,1.0,0.4,0.4,48.79032258064516
7,1002,60a917b354352a3df86dc1f2,1630737.081,803,1,0,1.0,0.9987546699875467,0.9993769470404984,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.1,34.20398009950249
8,1002,60a917b354352a3df86dc1f2,1630737.108,5998,0,9,1.0,0.9989996665555185,0.9994995829858215,0.0,0.0,0.0,0.9,1.0,0.9473684210526316,0.1,34.74280006658898
9,1002,60a917b354352a3df86dc1f2,1630737.195,756,2,0,1.0,0.9947089947089947,0.9973474801061007,1.0,1.0,1.0,0.0,0.0,0.0,0.5,93.93139841688655
10,1002,60a917b354352a3df86dc1f2,1630737.282,863,4,0,1.0,0.9988412514484357,0.9994202898550725,1.0,0.25,0.4,0.0,0.0,0.0,0.5,61.47635524798154
11,1003,60e1d80f93b55b41529e9eaa,1630737.048,744,4,12,1.0,0.9946236559139785,0.9973045822102425,0.5714285714285714,1.0,0.7272727272727273,0.9230769230769231,1.0,0.9600000000000001,0.5,56.184210526315795
12,1003,60e1d80f93b55b41529e9eaa,1630737.055,1273,1,7,0.998324958123953,0.9363707776904949,0.9663558978516416,0.012658227848101266,1.0,0.024999999999999998,0.625,0.7142857142857143,0.6666666666666666,6.5,89.38329430132708
13,1003,60e1d80f93b55b41529e9eaa,1630737.110,806,0,9,1.0,0.9962779156327544,0.9981354878806712,0.0,0.0,0.0,1.0,1.0,1.0,0.4,46.13496932515338
14,1003,60e1d80f93b55b41529e9eaa,1630737.144,799,2,14,0.9987468671679198,0.9974968710888611,0.9981214777708203,0.25,0.5,0.3333333333333333,0.9230769230769231,0.8571428571428571,0.888888888888889,0.6,52.88343558282208
15,1003,60e1d80f93b55b41529e9eaa,1630737.153,1264,1,7,0.9983498349834984,0.9572784810126582,0.9773828756058157,0.0,0.0,0.0,0.6,0.8571428571428571,0.7058823529411764,4.4,91.82389937106919
16,1003,60e1d80f93b55b41529e9eaa,1630737.192,1156,2,17,0.9982222222222222,0.9714532871972318,0.9846558526961858,0.03225806451612903,0.5,0.06060606060606061,0.7894736842105263,0.8823529411764706,0.8333333333333333,3.1,68.59574468085107
17,1003,60e1d80f93b55b41529e9eaa,1630737.266,1127,0,5,0.9990800367985281,0.963620230700976,0.9810298102981029,0.0,0.0,0.0,0.42857142857142855,0.6,0.5,3.8,70.31802120141343
18,1004,613b1c6f3d08d4370acdc8f3,1630737.052,649,3,0,0.995398773006135,1.0,0.997694081475788,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
19,1005,613b1d0c3d08d413ffcdc8f6,1630737.028,811,1,22,0.9938118811881188,0.9901356350184957,0.9919703520691785,0.0,0.0,0.0,0.75,0.6818181818181818,0.7142857142857143,1.9,73.38129496402878
20,1005,613b1d0c3d08d413ffcdc8f6,1630737.109,715,11,5,0.9956204379562044,0.9538461538461539,0.9742857142857142,0.0,0.0,0.0,0.29411764705882354,1.0,0.45454545454545453,6.0,94.11764705882352
21,1005,613b1d0c3d08d413ffcdc8f6,1630737.143,735,1,10,0.9972789115646259,0.9972789115646259,0.9972789115646259,0.0,0.0,0.0,0.75,0.6,0.6666666666666665,0.9,75.46916890080428
22,1005,613b1d0c3d08d413ffcdc8f6,1630737.163,718,2,21,1.0,0.9930362116991643,0.9965059399021663,0.0,0.0,0.0,0.875,1.0,0.9333333333333333,0.9,69.63562753036437
23,1005,613b1d0c3d08d413ffcdc8f6,1630737.180,807,0,21,0.992462311557789,0.9789343246592317,0.9856519026824704,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,2.8,92.9951690821256
24,1005,613b1d0c3d08d413ffcdc8f6,1630737.198,802,2,12,0.9937655860349127,0.9937655860349127,0.9937655860349127,0.0,0.0,0.0,0.8181818181818182,0.75,0.7826086956521738,1.2,91.42156862745098
25,1005,613b1d0c3d08d413ffcdc8f6,1630737.206,792,4,10,0.9987212276214834,0.9861111111111112,0.9923761118170267,0.0,0.0,0.0,0.5384615384615384,0.7,0.608695652173913,2.2,73.57320099255583
26,1005,613b1d0c3d08d413ffcdc8f6,1630737.241,834,1,9,0.9962073324905183,0.9448441247002398,0.9698461538461538,0.0,0.0,0.0,0.35294117647058826,0.6666666666666666,0.46153846153846156,5.9,76.30331753554502
