,precision,recall,f1-score,support
N,0.995906184602625,0.9680892451194075,0.9818007230273025,213345.0
S,0.20012119375852144,0.5458677685950413,0.2928721871189447,2420.0
V,0.6925324295898095,0.8741702315975808,0.7728221178925403,6779.0
accuracy,0.9606369976274355,0.9606369976274355,0.9606369976274355,0.9606369976274355
macro avg,0.629519935983652,0.7960424151040097,0.6824983426795957,222544.0
weighted avg,0.9780114295740707,0.9606369976274355,0.9679433598941388,222544.0
